name,rating,num_of_ratings,price,size,resolution,refresh_rate
"Philips 271E1S 27"" Frameless Monitor, Full HD IPS 1080P, 124% sRGB, FreeSync 75Hz, VESA, 4Yr Advance Replacement",4.6 out of 5 stars,"11,492","219,.",27 inches,FHD 1080p,75 hertz
,,,"219,.",,,
,,,,27 inches,FHD 1080p,75 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Dell S2722DZ 27-inch QHD 2560 x 1440 75Hz Video Conferencing Monitor, Noise-Cancelling Dual Microphones, Dual 5W Speakers, USB-C connectivity, 16.7 Million Colors, Silver",4.4 out of 5 stars,165,"299,.",27 inches,QHD Wide 1440p,75 hertz
,,,,,,
"Dell S2722DZ 27-inch QHD 2560 x 1440 75Hz Video Conferencing Monitor, Noise-Cancelling Dual Microphones, Dual 5W Speakers, USB-C connectivity, 16.7 Million Colors, Silver",4.4 out of 5 stars,165,"299,.",27 inches,QHD Wide 1440p,75 hertz
,,,"299,.",,,
,,,,27 inches,QHD Wide 1440p,75 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
HP V27i FHD Monitor | 27-inch Diagonal Full HD Computer Monitor with IPS Panel and 3-Sided Micro Edge Design | Low Blue Light Screen with HDMI and VGA Ports | (9SV92AA#ABA) Black,4.7 out of 5 stars,287,"149,.",27 inches,FHD 1080i,60 hertz
,,,,,,
HP V27i FHD Monitor | 27-inch Diagonal Full HD Computer Monitor with IPS Panel and 3-Sided Micro Edge Design | Low Blue Light Screen with HDMI and VGA Ports | (9SV92AA#ABA) Black,4.7 out of 5 stars,287,"149,.",27 inches,FHD 1080i,60 hertz
,,,"149,.",,,
,,,,27 inches,FHD 1080i,60 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Acer K202HQL bd 20” (19.5"" viewable) (1600 x 900) Monitor (DVI & VGA Ports)",4.4 out of 5 stars,"5,297","99,.",19.5 inches,HD+,60 hertz
,,,,,,
"Acer K202HQL bd 20” (19.5"" viewable) (1600 x 900) Monitor (DVI & VGA Ports)",4.4 out of 5 stars,"5,297","99,.",19.5 inches,HD+,60 hertz
,,,"99,.",,,
,,,,19.5 inches,HD+,60 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
